elem_index,area_name,onrc,surf_class,treat_2022,reason_2022,comment_2022,treat_2023,reason_2023,comment_2023,treat_2024,reason_2024,comment_2024,treat_2025,reason_2025,comment_2025,treat_2026,reason_2026,comment_2026,treat_2027,reason_2027,comment_2027,treat_2028,reason_2028,comment_2028,treat_2029,reason_2029,comment_2029,treat_2030,reason_2030,comment_2030,treat_2031,reason_2031,comment_2031,treat_2032,reason_2032,comment_2032,treat_2033,reason_2033,comment_2033,treat_2034,reason_2034,comment_2034,treat_2035,reason_2035,comment_2035,treat_2036,reason_2036,comment_2036
75,ESK ST_697_id_5353,Secondary Collector,ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RehabAC_UM,pdi =40.7; sdi =23.77; age =36.1,mesh_cracks =69.98; shoving =3.97; potholes =3.51
76,LISMORE MAYFIELD ROAD_680_id_345,Secondary Collector,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =2.32; sdi =2.23; age =22.6,mesh_cracks =3.16; shoving =1.62; potholes =1.52,,,,,,,,,,,,
77,SYLVAN ST_0_id_2341,Secondary Collector,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,NURSERY DRIVE_405_id_441,Access,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,O'HARA ST_251_id_5536,Secondary Collector,seal,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =2.39; sdi =0.77; age =12.1,mesh_cracks =1.48; shoving =0.7; potholes =0.1,,,,,,,,,,,,,,,,,,
80,REGENT STREET_6_id_491,Access,seal,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =2; sdi =1.58; age =15,mesh_cracks =1.41; shoving =1.45; potholes =0.83,,,,,,,,,,,,,,,,,,
81,RAKAIA RIVER ROAD_5756_id_494,Access,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,ARUNDEL RAKAIA GORGE ROAD_44176_id_31,Primary Collector,seal,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =1.92; sdi =3.64; age =17.5,mesh_cracks =3; shoving =1.18; potholes =1.07,,,,,,,,,,,,,,,,,,
83,ARGYLE GROVE_00214,Low Volume,ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ThinAC,pdi =2.17; sdi =1.46; age =28.1,mesh_cracks =1.56; shoving =1.25; potholes =0.65,,,,,,,,,
84,SELLIERA PLACE_0_id_1369,Low Volume,ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ThinAC,pdi =2.34; sdi =0; age =22.6,mesh_cracks =0; shoving =0; potholes =0
